treat   id  lfdn    task    choibio csn choice0 clar0   fish0   bio0    coast0  lit0    cost0   choice1 clar1   fish1   bio1    coast1  lit1    cost1   choice2 clar2   fish2   bio2    coast2  lit2    cost2   choice3 clar3   fish3   bio3    coast3  lit3    cost3   choice4 clar4   fish4   bio4    coast4  lit4    cost4   choice5 clar5   fish5   bio5    coast5  lit5    cost5   cset    choi    match   externallfdn   duration    block   pos1    pos2    pos3    pos4    pos5    pos6    pos7    pos8    pos9    pos10   pos11   pos12   p0003  v1 v2 v3 v4 v5 v6 v7 v8 v9 v11    v12    v13    v14    v15    v16    v17    v18    v20    v341   v342   v343   v344   v345   v346   v347   v348   v350   v351   v352   v353   v354   v355   v356   v357   v358   v359   v360   v361   v362   v363   v364   v365   v366   v367   v368   v369   v370   v371   v372   v373   v374   v375   v377   v380   pos13   pos14   pos15   pos16   same1   same2   same3   same4   same5   same6   same7   same8   sameall    blockNG
1   14  24  1   2   210 0   0   0   0   0   0   0   1   1   1   1   1   2   50  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   1   2   0   0   1019    4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   12  9   1   0   0   0   1   0   1   -66 0   0   0   0   0   0   1   10  4   4   3   1   5   2   6   5   2   5   5   5   3   4   1   1   4   4   4   4   2   2   4   5   5   1   1   3   1976    2   2   0 2   39122   5   0   0   0   0   0   1   0   0   0   0   0   1   2   4
1   14  24  2   2   212 0   0   0   0   0   0   0   1   2   1   2   1   2   80  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   1   0   1019    4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   12  9   1   0   0   0   1   0   1   -66 0   0   0   0   0   0   1   10  4   4   3   1   5   2   6   5   2   5   5   5   3   4   1   1   4   4   4   4   2   2   4   5   5   1   1   3   1976    2   2   0 2   39122   5   0   0   0   0   0   1   0   0   0   0   0   1   2   4
1   14  24  3   1   213 1   0   0   0   0   0   0   0   1   1   3   0   1   80  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   7   1   1   0   1019    4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   12  9   1   0   0   0   1   0   1   -66 0   0   0   0   0   0   1   10  4   4   3   1   5   2   6   5   2   5   5   5   3   4   1   1   4   4   4   4   2   2   4   5   5   1   1   3   1976    2   2   0 2   39122   5   0   0   0   0   0   1   0   0   0   0   0   1   2   4
1   14  24  4   1   216 1   0   0   0   0   0   0   0   0   0   3   0   0   110 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   8   1   0   0   1019    4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   12  9   1   0   0   0   1   0   1   -66 0   0   0   0   0   0   1   10  4   4   3   1   5   2   6   5   2   5   5   5   3   4   1   1   4   4   4   4   2   2   4   5   5   1   1   3   1976    2   2   0 2   39122   5   0   0   0   0   0   1   0   0   0   0   0   1   2   4
1   14  24  5   2   217 0   0   0   0   0   0   0   1   0   0   0   1   3   110 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   12  2   1   0   1019    4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   12  9   1   0   0   0   1   0   1   -66 0   0   0   0   0   0   1   10  4   4   3   1   5   2   6   5   2   5   5   5   3   4   1   1   4   4   4   4   2   2   4   5   5   1   1   3   1976    2   2   0 2   39122   5   0   0   0   0   0   1   0   0   0   0   0   1   2   4
1   14  24  6   2   220 0   0   0   0   0   0   0   1   2   1   2   0   2   80  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   15  2   0   0   1019    4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   12  9   1   0   0   0   1   0   1   -66 0   0   0   0   0   0   1   10  4   4   3   1   5   2   6   5   2   5   5   5   3   4   1   1   4   4   4   4   2   2   4   5   5   1   1   3   1976    2   2   0 2   39122   5   0   0   0   0   0   1   0   0   0   0   0   1   2   4
1   14  24  7   1   222 1   0   0   0   0   0   0   0   3   0   0   0   0   110 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   16  1   0   0   1019    4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   12  9   1   0   0   0   1   0   1   -66 0   0   0   0   0   0   1   10  4   4   3   1   5   2   6   5   2   5   5   5   3   4   1   1   4   4   4   4   2   2   4   5   5   1   1   3   1976    2   2   0 2   39122   5   0   0   0   0   0   1   0   0   0   0   0   1   2   4
1   14  24  8   2   223 0   0   0   0   0   0   0   1   1   0   3   1   3   300 0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   18  2   1   0   1019    4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   12  9   1   0   0   0   1   0   1   -66 0   0   0   0   0   0   1   10  4   4   3   1   5   2   6   5   2   5   5   5   3   4   1   1   4   4   4   4   2   2   4   5   5   1   1   3   1976    2   2   0 2   39122   5   0   0   0   0   0   1   0   0   0   0   0   1   2   4
1   14  24  10  2   211 0   0   0   0   0   0   0   1   2   1   2   1   2   80  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   2   2   1   0   1019    4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   12  9   1   0   0   0   1   0   1   -66 0   0   0   0   0   0   1   10  4   4   3   1   5   2   6   5   2   5   5   5   3   4   1   1   4   4   4   4   2   2   4   5   5   1   1   3   1976    2   2   0 2   39122   5   0   0   0   0   0   1   0   0   0   0   0   1   2   4
1   14  24  11  2   214 0   0   0   0   0   0   0   1   1   1   3   0   1   80  0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0   7   2   1   0   1019    4   0   0   0   0   0   0   0   0   0   0   0   0   424610    1   12  9   1   0   0   0   1   0   1   -66 0   0   0   0   0   0   1   10  4   4   3   1   5   2   6   5   2   5   5   5   3   4   1   1   4   4   4   4   2   2   4   5   5   1   1   3   1976    2   2   0 2   39122   5   0   0   0   0   0   1   0   0   0   0   0   1   2   4
